COMMON_NAME,LATIN_NAME,GENUS,FAMILY,ORDER,ALT_NAME
Rufous-winged Sparrow,Aimphila carpalis,Aimophila,Fringillidae,,Rufouswinged Sparrow
Baird's Sparrow,Ammodramus bairdii,Ammodramus,Fringillidae,,Bairds Sparrow
Savannah Sparrow,Passerculus sandwichensis,Passerculus,Fringillidae,,
Lark Bunting,Calamospiza melanocorys,Calamospiza,Fringillidae,,
Lark Sparrow,Chondestes grammacus,Chondestes,Fringillidae,,
Clay-colored Sparrow,Spizella pallidae,Spizella,Fringillidae,,Claycolored Sparrow
Bobolink,Dolichonyx oryzivorus,Dolichonyx,Icteridae,,
McCown's Longspur,Calcarius mccownii,Calcarius,Fringillidae,,McCowns Longspur
Chestnut-collared Longspur,Calcarius ornatus,Calcarius,Fringillidae,,Chestnutcolored Longspur
Horned Lark,Eremophila alpestris,Eremophila,Alaudidae,,
Sprague's Pipit,Anthus spragueii,Anthus,Motacillidae,,Spragues Pipit
Yellow-billed Magpie,Pica nuttalli,Pica,Corvidae,,Yellowbilled Magpie
Black-billed Magpie,Pica pica,Pica,Corvidae,,Blackbilled Magpie
Great-tailed Grackle,Quiscalus mexicanus,Quiscalus,Icteridae,,Greattailed Grackle
